Product,Type,Release Date,Process Size (nm),TDP (W),Transistors (million),Freq (MHz),Vendor
AMD A8-5600K,CPU,2012-10-02,32.0,100.0,1178.0,3600.0,AMD
AMD Athlon XP 2600+,CPU,2002-10-01,130.0,68.0,37.0,2133.0,AMD
AMD Athlon 64 3000+,CPU,2003-12-15,130.0,89.0,69.0,2000.0,AMD
Intel Pentium D 945,CPU,2006-07-23,65.0,95.0,376.0,3400.0,Intel
Intel Celeron B800,CPU,2011-06-19,32.0,35.0,504.0,1500.0,Intel
Intel Atom E665C,CPU,2010-11-22,45.0,4.0,47.0,1300.0,Intel
AMD E1-2150,CPU,2014-02-01,32.0,9.0,1178.0,1050.0,AMD
Intel Celeron 2.70,CPU,2003-09-24,130.0,73.0,55.0,2700.0,Intel
AMD Athlon 64 3500+,CPU,2007-02-20,90.0,62.0,227.0,2200.0,AMD
AMD Sempron 3400+ EE SFF,CPU,2006-05-23,90.0,35.0,81.0,1800.0,AMD
Intel Core i7-3525M,CPU,2012-11-01,22.0,35.0,1480.0,2900.0,Intel
AMD A6-3410MX,CPU,2011-06-14,32.0,45.0,1178.0,1600.0,AMD
Intel Core i5-450M,CPU,2010-09-26,32.0,35.0,382.0,2400.0,Intel
Intel Pentium G3430,CPU,2013-09-01,22.0,54.0,1400.0,3300.0,Intel
Intel Core i5-4210U,CPU,2014-04-14,22.0,15.0,1400.0,1700.0,Intel
Intel Core 2 Duo E6420,CPU,2007-04-01,65.0,65.0,167.0,2133.0,Intel
AMD Athlon XP 1900+,CPU,2001-11-05,180.0,68.0,37.0,1600.0,AMD
Intel Pentium III 1400,CPU,2001-12-01,130.0,31.0,44.0,1400.0,Intel
AMD Athlon 64 3000+,CPU,2005-04-14,130.0,62.0,105.0,1800.0,AMD
Intel Xeon E3-1290 v2,CPU,2012-05-14,22.0,87.0,1400.0,3700.0,Intel
AMD Phenom X3 8550,CPU,2008-04-23,65.0,95.0,450.0,2200.0,AMD
AMD Athlon XP 2200+,CPU,2002-06-10,130.0,68.0,37.0,1800.0,AMD
Intel Mobile Pentium 4 HT 538,CPU,2004-06-01,90.0,88.0,125.0,3200.0,Intel
Intel Pentium Dual-Core E2220,CPU,2008-03-02,65.0,65.0,105.0,2400.0,Intel
AMD Ryzen 5 4600U,CPU,2020-01-06,7.0,25.0,9800.0,2100.0,AMD
AMD Ryzen Threadripper 2970WX,CPU,2018-10-02,12.0,250.0,19200.0,3000.0,AMD
AMD Opteron X2 875 HE,CPU,2006-02-01,90.0,55.0,233.0,2200.0,AMD
Intel Atom Z605,CPU,2010-05-04,45.0,2.0,140.0,1000.0,Intel
Intel Atom N475,CPU,2010-06-01,45.0,7.0,123.0,1834.0,Intel
Intel Xeon E5-1660 v2,CPU,2013-09-01,22.0,130.0,1400.0,3700.0,Intel
AMD Sempron 3300+,CPU,2005-07-15,90.0,62.0,69.0,2000.0,AMD
AMD Ryzen 5 PRO 2600,CPU,2018-09-19,12.0,65.0,4800.0,3400.0,AMD
AMD Phenom X4 9450e,CPU,2008-10-01,65.0,65.0,450.0,2100.0,AMD
AMD A4-3420,CPU,2011-12-20,32.0,65.0,1178.0,2800.0,AMD
Intel Pentium 4 1.80,CPU,2001-08-27,180.0,67.0,42.0,1800.0,Intel
AMD Opteron 248,CPU,2004-12-01,90.0,85.0,106.0,2200.0,AMD
Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,125.0,2660.0,Intel
Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,1400.0,2800.0,Intel
Intel Pentium 4 2.53,CPU,2002-05-06,130.0,110.0,55.0,2527.0,Intel
Intel Mobile Pentium 4 2.40,CPU,2003-06-11,130.0,60.0,55.0,2400.0,Intel
Intel Xeon Phi 7110P,CPU,2012-11-12,22.0,300.0,5000.0,1250.0,Intel
AMD Turion 64 MT-30,CPU,2005-03-10,90.0,22.0,114.0,1600.0,AMD
Intel Atom Z625,CPU,2010-05-04,45.0,2.0,140.0,1900.0,Intel
Intel Core i5-4200U,CPU,2013-06-04,22.0,15.0,1400.0,1600.0,Intel
Intel Pentium E5700,CPU,2010-08-08,45.0,65.0,228.0,3000.0,Intel
Intel Pentium G3420T,CPU,2013-09-01,22.0,35.0,1400.0,2700.0,Intel
AMD A10-9700E,CPU,2017-07-27,28.0,35.0,1178.0,3000.0,AMD
Intel Pentium 4-M 2.00,CPU,2002-06-24,130.0,32.0,55.0,2000.0,Intel
Intel Xeon E5620,CPU,2010-03-16,32.0,80.0,1170.0,2400.0,Intel
AMD Opteron 6274,CPU,2011-11-14,32.0,115.0,2400.0,2200.0,AMD
AMD Ryzen 7 1800X,CPU,2017-03-02,14.0,95.0,4800.0,3600.0,AMD
AMD Ryzen 3 3200U,CPU,2019-01-06,12.0,15.0,4940.0,2600.0,AMD
Intel Xeon E-2124G,CPU,2018-05-31,14.0,72.0,1400.0,3400.0,Intel
AMD Athlon 700,CPU,2000-06-05,180.0,40.0,37.0,700.0,AMD
AMD Athlon 64 2700+,CPU,2004-04-27,130.0,32.0,69.0,1600.0,AMD
AMD Ryzen 7 2700X,CPU,2018-04-19,12.0,105.0,4800.0,3700.0,AMD
AMD Ryzen Embedded V1807B,CPU,2018-02-21,14.0,45.0,4950.0,3350.0,AMD
AMD Athlon II X3 415e,CPU,2010-05-11,45.0,45.0,300.0,2500.0,AMD
Intel Core i5-2310,CPU,2011-05-22,32.0,95.0,1160.0,2900.0,Intel
AMD FX-8320,CPU,2012-10-23,32.0,125.0,1200.0,3500.0,AMD
AMD Opteron 6386 SE,CPU,2012-11-05,32.0,140.0,2400.0,2800.0,AMD
AMD Opteron X2 875,CPU,2005-09-26,90.0,95.0,233.0,2200.0,AMD
Intel Celeron 877,CPU,2012-07-01,32.0,17.0,504.0,1400.0,Intel
AMD Phenom II X6 1100T BE,CPU,2010-12-07,45.0,125.0,904.0,3300.0,AMD
Intel Core i3-4130,CPU,2013-09-01,22.0,54.0,1400.0,3400.0,Intel
Intel Core i7-3910K,CPU,2013-07-24,32.0,130.0,2270.0,3000.0,Intel
Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,1480.0,2200.0,Intel
AMD Opteron 144,CPU,2005-08-02,90.0,67.0,106.0,1800.0,AMD
Intel Pentium 4 HT 515,CPU,2001-01-01,90.0,84.0,125.0,2933.0,Intel
AMD Opteron 242,CPU,2004-05-18,130.0,82.0,106.0,1600.0,AMD
Intel Xeon 2.8,CPU,2005-10-10,90.0,135.0,200.0,2800.0,Intel
Intel Core 2 Duo E7600,CPU,2009-05-10,45.0,65.0,228.0,3067.0,Intel
AMD Phenom II X4 910,CPU,2009-02-09,45.0,95.0,758.0,2600.0,AMD
AMD Sempron 2500+,CPU,2004-07-28,130.0,62.0,37.0,1750.0,AMD
Intel Pentium G3450,CPU,2014-05-01,22.0,54.0,1400.0,3300.0,Intel
AMD EPYC 7601,CPU,2017-06-29,14.0,180.0,4800.0,2200.0,AMD
Intel Xeon E7-8860 v3,CPU,2015-06-01,22.0,140.0,1400.0,2200.0,Intel
AMD Phenom X4 9850 BE,CPU,2008-03-27,65.0,125.0,450.0,2500.0,AMD
AMD Ryzen 3 3100,CPU,2020-04-24,7.0,65.0,3800.0,3600.0,AMD
Intel Core i7-4940MX,CPU,2014-01-20,22.0,57.0,1400.0,3100.0,Intel
Intel Core 2 Quad Q6600 (105W),CPU,2007-01-07,65.0,105.0,582.0,2400.0,Intel
AMD Athlon 64 FX-62,CPU,2006-05-23,90.0,125.0,243.0,2800.0,AMD
AMD Athlon X2 7750 BE,CPU,2008-12-15,65.0,95.0,450.0,2700.0,AMD
Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,1400.0,2700.0,Intel
Intel Core i3-4150T,CPU,2014-05-01,22.0,35.0,1400.0,2900.0,Intel
Intel Atom N570,CPU,2011-03-01,45.0,9.0,176.0,1667.0,Intel
Intel Core 2 Duo T7300,CPU,2006-07-27,65.0,35.0,293.0,2000.0,Intel
Intel Atom E645C,CPU,2010-11-22,45.0,4.0,47.0,1000.0,Intel
Intel Core i7-5820K,CPU,2014-09-01,22.0,140.0,2600.0,3300.0,Intel
Intel Celeron E3400,CPU,2010-01-17,45.0,65.0,228.0,2600.0,Intel
AMD FX-6120,CPU,2012-10-23,32.0,95.0,1200.0,3600.0,AMD
Intel Pentium G632,CPU,2011-09-04,32.0,65.0,504.0,2700.0,Intel
Intel Pentium 4 HT 531,CPU,2005-06-12,90.0,84.0,125.0,3000.0,Intel
AMD Opteron 248 HE,CPU,2005-03-01,90.0,55.0,106.0,2200.0,AMD
AMD Opteron X2 290,CPU,2006-01-01,90.0,95.0,233.0,2800.0,AMD
Intel Pentium 4 HT 3.20,CPU,2003-06-23,130.0,82.0,55.0,3200.0,Intel
AMD Athlon II X4 610e,CPU,2010-05-11,45.0,45.0,300.0,2400.0,AMD
AMD Sempron 2800+,CPU,2006-05-23,90.0,62.0,81.0,1600.0,AMD
AMD FX-9590,CPU,2013-07-06,32.0,220.0,1200.0,4700.0,AMD
Intel Pentium 4 2.0,CPU,2002-01-07,130.0,92.0,125.0,2000.0,Intel
AMD Phenom II X6 1055T (95W),CPU,2010-05-01,45.0,95.0,904.0,2800.0,AMD
AMD A4-4000,CPU,2013-06-01,32.0,65.0,1178.0,3000.0,AMD
AMD Phenom X4 9650,CPU,2008-03-27,65.0,95.0,450.0,2300.0,AMD
AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,63.0,2083.0,AMD
Intel Core i5-4350U,CPU,2013-06-04,22.0,15.0,1400.0,1400.0,Intel
AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,125.0,9600.0,3800.0,AMD
Intel Celeron B820,CPU,2012-07-01,32.0,35.0,504.0,1700.0,Intel
Intel Xeon W3670,CPU,2010-08-29,32.0,130.0,1170.0,3200.0,Intel
Intel Core i7-4610M,CPU,2014-02-01,22.0,37.0,1300.0,3000.0,Intel
AMD Opteron 6282 SE,CPU,2011-11-14,32.0,140.0,2400.0,2600.0,AMD
Intel Pentium 4 HT 631,CPU,2006-01-05,65.0,86.0,188.0,3000.0,Intel
Intel Xeon L5609,CPU,2010-03-16,32.0,40.0,1170.0,1866.0,Intel
AMD Phenom II X3 715 BE,CPU,2010-10-01,45.0,95.0,758.0,2800.0,AMD
AMD Opteron 152,CPU,2005-08-02,90.0,104.0,106.0,2600.0,AMD
AMD Sempron 3400+,CPU,2006-01-23,90.0,62.0,69.0,2000.0,AMD
Intel Xeon E5603,CPU,2011-02-14,32.0,80.0,1170.0,1600.0,Intel
AMD Sempron 2600+,CPU,2004-07-28,90.0,62.0,63.0,1600.0,AMD
Intel Pentium 4 HT 660,CPU,2005-02-20,90.0,84.0,169.0,3600.0,Intel
Intel Celeron 887,CPU,2012-09-01,32.0,17.0,504.0,1500.0,Intel
AMD A8-3550MX,CPU,2011-12-20,32.0,45.0,1178.0,2000.0,AMD
Intel Xeon E-2124,CPU,2018-05-31,14.0,72.0,1400.0,3400.0,Intel
AMD Phenom II X4 830,CPU,2009-09-01,45.0,95.0,758.0,2800.0,AMD
AMD Athlon II X2 250,CPU,2009-06-02,45.0,65.0,410.0,3000.0,AMD
AMD FX-6200,CPU,2012-02-27,32.0,125.0,1200.0,3800.0,AMD
AMD Opteron 848,CPU,2004-05-18,130.0,89.0,106.0,2200.0,AMD
AMD Phenom X4 9350e,CPU,2008-07-01,65.0,65.0,450.0,2000.0,AMD
Intel Pentium B980,CPU,2012-09-01,32.0,35.0,504.0,2400.0,Intel
AMD Athlon II X4 635,CPU,2010-01-25,45.0,95.0,300.0,2900.0,AMD
Intel Celeron B810,CPU,2011-03-01,32.0,35.0,504.0,1600.0,Intel
Intel A100,CPU,2007-06-01,90.0,3.0,176.0,600.0,Intel
AMD A12-9800E,CPU,2017-07-27,28.0,35.0,1178.0,3100.0,AMD
Intel Xeon Phi SE10P,CPU,2012-11-12,22.0,300.0,5000.0,1100.0,Intel
Intel Core 2 Duo E6750,CPU,2007-07-01,65.0,65.0,291.0,2667.0,Intel
Intel Core i7-990X,CPU,2011-02-24,32.0,130.0,1170.0,3466.0,Intel
Intel Core 2 Duo E4300,CPU,2006-07-27,65.0,65.0,167.0,1800.0,Intel
AMD A4-1250,CPU,2013-05-23,32.0,8.0,1178.0,1000.0,AMD
Intel Pentium 4 HT 2.80,CPU,2003-05-21,130.0,70.0,55.0,2800.0,Intel
AMD Ryzen 7 1700X,CPU,2017-03-02,14.0,95.0,4800.0,3400.0,AMD
AMD A6-3650,CPU,2011-06-30,32.0,100.0,1178.0,2600.0,AMD
AMD Ryzen Embedded V1605B,CPU,2018-02-21,14.0,15.0,4950.0,2000.0,AMD
Intel Pentium 4 HT 620,CPU,2005-02-20,90.0,84.0,169.0,2800.0,Intel
AMD Athlon 64 LE-1640,CPU,2009-01-07,90.0,45.0,154.0,2600.0,AMD
AMD Sempron 2800+,CPU,2004-07-28,90.0,25.0,63.0,1600.0,AMD
AMD A10-5800B,CPU,2012-10-02,32.0,100.0,1178.0,3800.0,AMD
Intel Core Solo T1200,CPU,2006-01-05,65.0,27.0,151.0,1500.0,Intel
Intel Xeon Phi 7285,CPU,2017-12-01,14.0,250.0,8000.0,1300.0,Intel
AMD Athlon 64 3800+,CPU,2004-06-01,130.0,89.0,69.0,2400.0,AMD
Intel Xeon Phi 31S1P,CPU,2013-06-17,22.0,270.0,5000.0,1100.0,Intel
AMD Opteron 144,CPU,2005-08-02,90.0,67.0,106.0,1800.0,AMD
Intel Xeon MP 7040 Dual-Core,CPU,2005-12-01,90.0,135.0,200.0,3000.0,Intel
Intel Pentium 4 2.80,CPU,2002-08-25,130.0,110.0,55.0,2793.0,Intel
AMD Phenom II X2 B57,CPU,2010-05-11,45.0,80.0,758.0,3200.0,AMD
Intel Celeron G1840T,CPU,2014-05-01,22.0,54.0,1400.0,2500.0,Intel
AMD EPYC 7402,CPU,2019-08-07,7.0,180.0,3800.0,2800.0,AMD
Intel Pentium 4 1.9,CPU,2001-08-27,180.0,69.0,42.0,1900.0,Intel
AMD Opteron 6284 SE,CPU,2012-05-01,32.0,140.0,2400.0,2700.0,AMD
AMD Opteron 4340,CPU,2012-12-04,32.0,95.0,1200.0,3500.0,AMD
AMD Athlon 64 3700+,CPU,2005-04-14,130.0,83.0,105.0,2400.0,AMD
AMD Athlon II X4 638,CPU,2012-02-06,32.0,65.0,1178.0,2700.0,AMD
AMD Sempron 3800+,CPU,2006-10-23,90.0,62.0,81.0,2200.0,AMD
Intel Pentium 2117U,CPU,2012-09-01,22.0,17.0,1400.0,1800.0,Intel
AMD Athlon 800,CPU,2000-06-05,180.0,45.0,37.0,800.0,AMD
Intel Core 2 Quad Q7600,CPU,2009-08-31,45.0,95.0,456.0,2700.0,Intel
Intel Xeon E7-8870,CPU,2011-04-03,32.0,130.0,2600.0,2400.0,Intel
AMD FX-8350,CPU,2012-10-23,32.0,125.0,1200.0,4000.0,AMD
AMD Athlon 64 X2 4400+ EE,CPU,2006-05-23,90.0,65.0,154.0,2200.0,AMD
AMD Opteron 4386,CPU,2012-12-04,32.0,95.0,1200.0,3100.0,AMD
Intel Xeon W5580,CPU,2009-03-30,45.0,130.0,731.0,3200.0,Intel
AMD Athlon X2 BE-2400,CPU,2007-10-08,65.0,45.0,154.0,2300.0,AMD
AMD Phenom II X4 920,CPU,2009-01-08,45.0,125.0,758.0,2800.0,AMD
AMD Sempron 2500+,CPU,2005-07-07,90.0,62.0,63.0,1400.0,AMD
Intel Xeon Phi 7235,CPU,2017-12-01,14.0,250.0,8000.0,1300.0,Intel
AMD Sempron 3500+,CPU,2005-10-01,90.0,62.0,63.0,2000.0,AMD
AMD Opteron 250,CPU,2004-05-18,130.0,89.0,106.0,2400.0,AMD
Intel Xeon MP 7030 Dual-Core,CPU,2005-12-01,90.0,135.0,200.0,2833.0,Intel
AMD FX-8170,CPU,2012-10-23,32.0,125.0,1200.0,3900.0,AMD
AMD Opteron 850,CPU,2004-12-01,90.0,85.0,106.0,2400.0,AMD
Intel Core i7-2860QM,CPU,2011-09-04,32.0,45.0,1160.0,2500.0,Intel
Intel Pentium 350,CPU,2011-11-21,32.0,15.0,504.0,1200.0,Intel
AMD Ryzen 5 2600X,CPU,2018-04-19,12.0,95.0,4800.0,3600.0,AMD
Intel Pentium 4 HT 2.40,CPU,2003-05-21,130.0,66.0,55.0,2400.0,Intel
AMD Ryzen 7 4700U,CPU,2020-01-06,7.0,25.0,9800.0,1800.0,AMD
Intel Atom E620T,CPU,2010-09-14,45.0,3.0,47.0,600.0,Intel
AMD Opteron 43GK HE,CPU,2012-12-04,32.0,65.0,1200.0,2600.0,AMD
AMD Athlon X2 7450,CPU,2008-12-15,65.0,95.0,450.0,2400.0,AMD
AMD Ryzen 5 1500X,CPU,2017-04-11,14.0,65.0,4800.0,3500.0,AMD
AMD Athlon 64 X2 4400+,CPU,2006-05-23,90.0,110.0,233.0,2200.0,AMD
AMD A4-4300M,CPU,2012-05-15,32.0,35.0,1303.0,2500.0,AMD
Intel Core i5-670,CPU,2010-01-07,32.0,73.0,382.0,3466.0,Intel
Intel Core 2 Duo U7600,CPU,2007-04-27,65.0,10.0,293.0,1200.0,Intel
Intel Core i7-4760HQ,CPU,2014-02-01,22.0,47.0,1400.0,2100.0,Intel
Intel Pentium D 940,CPU,2006-01-16,65.0,130.0,376.0,3200.0,Intel
AMD Turion 64 MT-37,CPU,2005-08-08,90.0,25.0,114.0,2000.0,AMD
Intel Core i5-4300M,CPU,2013-09-01,22.0,37.0,1400.0,2600.0,Intel
Intel Core i7-3635QM,CPU,2012-09-01,22.0,45.0,1480.0,2400.0,Intel
AMD Opteron 6376,CPU,2012-11-05,32.0,115.0,2400.0,2300.0,AMD
AMD Opteron 244,CPU,2003-08-05,130.0,82.0,106.0,1800.0,AMD
Intel Pentium 4 2.40,CPU,2004-03-01,90.0,110.0,125.0,2400.0,Intel
Intel Xeon MP 3.00,CPU,2005-03-29,90.0,135.0,286.0,3000.0,Intel
Intel Xeon E5-2695 v2,CPU,2013-09-01,22.0,115.0,1400.0,2400.0,Intel
Intel Pentium M 725,CPU,2004-06-23,90.0,21.0,140.0,1600.0,Intel
AMD Sempron 2800+,CPU,2005-07-15,90.0,25.0,69.0,1600.0,AMD
AMD A4-3320M,CPU,2011-12-20,32.0,35.0,1178.0,2000.0,AMD
Intel Mobile Pentium 4 2.80,CPU,2003-06-11,130.0,68.0,55.0,2800.0,Intel
Intel Core i7-4960X,CPU,2013-09-03,22.0,130.0,1860.0,3600.0,Intel
AMD Athlon II X2 250e,CPU,2010-09-21,45.0,45.0,410.0,3000.0,AMD
AMD Athlon 64 X2 6000+,CPU,2007-08-20,65.0,89.0,154.0,3100.0,AMD
AMD Athlon 64 LE-1620,CPU,2007-10-08,90.0,45.0,227.0,2400.0,AMD
Intel Celeron 2.40,CPU,2003-03-31,130.0,73.0,55.0,2400.0,Intel
AMD EPYC 7232P,CPU,2019-08-07,7.0,120.0,3800.0,3100.0,AMD
Intel Atom CE4150,CPU,2009-09-24,45.0,7.0,47.0,1200.0,Intel
AMD Athlon II X2 220,CPU,2010-09-21,45.0,65.0,410.0,2800.0,AMD
AMD Opteron 4334,CPU,2012-12-04,32.0,95.0,1200.0,3100.0,AMD
Intel Core 2 Quad Q9400,CPU,2008-08-10,45.0,95.0,456.0,2666.0,Intel
Intel Xeon E7-8891 v3,CPU,2015-06-01,22.0,165.0,1400.0,2800.0,Intel
Intel Pentium 967,CPU,2011-10-02,32.0,17.0,504.0,1300.0,Intel
AMD Athlon 900,CPU,2000-06-05,180.0,50.0,37.0,900.0,AMD
Intel Celeron G460,CPU,2011-12-12,32.0,35.0,504.0,1800.0,Intel
AMD FX-6350,CPU,2013-04-29,32.0,125.0,1200.0,3900.0,AMD
Intel Celeron G3900,CPU,2015-09-01,14.0,51.0,1400.0,2800.0,Intel
Intel Pentium G850,CPU,2011-05-22,32.0,65.0,504.0,2900.0,Intel
AMD EPYC 7742,CPU,2019-08-07,7.0,225.0,3800.0,2250.0,AMD
Intel Core i7-4810MQ,CPU,2014-01-20,22.0,47.0,1400.0,2800.0,Intel
Intel Core 2 Duo E8600,CPU,2008-08-08,45.0,65.0,410.0,3333.0,Intel
AMD Phenom II X6 1090T BE,CPU,2010-04-27,45.0,125.0,904.0,3200.0,AMD
Intel Xeon 7130M,CPU,2006-08-27,65.0,150.0,1328.0,3200.0,Intel
Intel Core i3-4160T,CPU,2014-07-21,22.0,35.0,1400.0,3100.0,Intel
AMD Sempron 130,CPU,2011-08-01,45.0,45.0,234.0,2600.0,AMD
Intel Atom N470,CPU,2010-03-01,45.0,7.0,123.0,1834.0,Intel
AMD Sempron 3100+,CPU,2005-05-03,90.0,62.0,63.0,1800.0,AMD
Intel Core Duo LV L2500,CPU,2006-09-03,65.0,15.0,151.0,1833.0,Intel
AMD Sempron 2300+,CPU,2004-07-28,130.0,62.0,37.0,1583.0,AMD
AMD A10-5700,CPU,2012-10-02,32.0,65.0,1178.0,3400.0,AMD
AMD A4-1350,CPU,2013-10-18,32.0,8.0,1178.0,1000.0,AMD
Intel Pentium III 1000,CPU,2001-06-01,180.0,29.0,44.0,1000.0,Intel
Intel Atom Z530,CPU,2008-04-02,45.0,2.0,47.0,1600.0,Intel
Intel Xeon W3580,CPU,2009-08-09,45.0,130.0,731.0,3333.0,Intel
